alcohol,malic,ash,alcalinity,magnesium,phenols,flavanoids,nonflavanoid,proanthocyanins,intensity,hue,od280,proline
14.23,1.71,2.4300001,15.6,127,2.8,3.0599999,0.28,2.29,5.6399999,1.04,3.9200001,1065
13.2,1.78,2.1400001,11.2,100,2.6500001,2.76,0.25999999,1.28,4.3800001,1.05,3.4000001,1050
13.16,2.3599999,2.6700001,18.6,101,2.8,3.24,0.30000001,2.8099999,5.6799998,1.03,3.1700001,1185
14.37,1.95,2.5,16.799999,113,3.8499999,3.49,0.23999999,2.1800001,7.8000002,0.86000001,3.45,1480
13.24,2.5899999,2.8699999,21,118,2.8,2.6900001,0.38999999,1.8200001,4.3200002,1.04,2.9300001,735
14.2,1.76,2.45,15.2,112,3.27,3.3900001,0.34,1.97,6.75,1.05,2.8499999,1450
14.39,1.87,2.45,14.6,96,2.5,2.52,0.30000001,1.98,5.25,1.02,3.5799999,1290
14.06,2.1500001,2.6099999,17.6,121,2.5999999,2.51,0.31,1.25,5.0500002,1.0599999,3.5799999,1295
14.83,1.64,2.1700001,14,97,2.8,2.98,0.28999999,1.98,5.1999998,1.08,2.8499999,1045
13.86,1.35,2.27,16,98,2.98,3.1500001,0.22,1.85,7.2199998,1.01,3.55,1045
14.1,2.1600001,2.3,18,105,2.95,3.3199999,0.22,2.3800001,5.75,1.25,3.1700001,1510
14.12,1.48,2.3199999,16.799999,95,2.2,2.4300001,0.25999999,1.5700001,5,1.17,2.8199999,1280
13.75,1.73,2.4100001,16,89,2.5999999,2.76,0.28999999,1.8099999,5.5999999,1.15,2.9000001,1320
14.75,1.73,2.3900001,11.4,91,3.0999999,3.6900001,0.43000001,2.8099999,5.4000001,1.25,2.73,1150
14.38,1.87,2.3800001,12,102,3.3,3.6400001,0.28999999,2.96,7.5,1.2,3,1547
13.63,1.8099999,2.7,17.200001,112,2.8499999,2.9100001,0.30000001,1.46,7.3000002,1.28,2.8800001,1310
14.3,1.92,2.72,20,120,2.8,3.1400001,0.33000001,1.97,6.1999998,1.0700001,2.6500001,1280
13.83,1.5700001,2.6199999,20,115,2.95,3.4000001,0.40000001,1.72,6.5999999,1.13,2.5699999,1130
14.19,1.59,2.48,16.5,108,3.3,3.9300001,0.31999999,1.86,8.6999998,1.23,2.8199999,1680
13.64,3.0999999,2.5599999,15.2,116,2.7,3.03,0.17,1.66,5.0999999,0.95999998,3.3599999,845
14.06,1.63,2.28,16,126,3,3.1700001,0.23999999,2.0999999,5.6500001,1.09,3.71,780
12.93,3.8,2.6500001,18.6,102,2.4100001,2.4100001,0.25,1.98,4.5,1.03,3.52,770
13.71,1.86,2.3599999,16.6,101,2.6099999,2.8800001,0.27000001,1.6900001,3.8,1.11,4,1035
12.85,1.6,2.52,17.799999,95,2.48,2.3699999,0.25999999,1.46,3.9300001,1.09,3.6300001,1015
13.5,1.8099999,2.6099999,20,96,2.53,2.6099999,0.28,1.66,3.52,1.12,3.8199999,845
13.05,2.05,3.22,25,124,2.6300001,2.6800001,0.47,1.92,3.5799999,1.13,3.2,830
13.39,1.77,2.6199999,16.1,93,2.8499999,2.9400001,0.34,1.45,4.8000002,0.92000002,3.22,1195
13.3,1.72,2.1400001,17,94,2.4000001,2.1900001,0.27000001,1.35,3.95,1.02,2.77,1285
13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4000001,915
14.02,1.6799999,2.21,16,96,2.6500001,2.3299999,0.25999999,1.98,4.6999998,1.04,3.5899999,1035
13.73,1.5,2.7,22.5,101,3,3.25,0.28999999,2.3800001,5.6999998,1.1900001,2.71,1285
13.58,1.66,2.3599999,19.1,106,2.8599999,3.1900001,0.22,1.95,6.9000001,1.09,2.8800001,1515
13.68,1.83,2.3599999,17.200001,104,2.4200001,2.6900001,0.41999999,1.97,3.8399999,1.23,2.8699999,990
13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4000001,1.25,3,1235
13.51,1.8,2.6500001,19,110,2.3499999,2.53,0.28999999,1.54,4.1999998,1.1,2.8699999,1095
13.48,1.8099999,2.4100001,20.5,100,2.7,2.98,0.25999999,1.86,5.0999999,1.04,3.47,920
13.28,1.64,2.8399999,15.5,110,2.5999999,2.6800001,0.34,1.36,4.5999999,1.09,2.78,880
13.05,1.65,2.55,18,98,2.45,2.4300001,0.28999999,1.4400001,4.25,1.12,2.51,1105
13.07,1.5,2.0999999,15.5,98,2.4000001,2.6400001,0.28,1.37,3.7,1.1799999,2.6900001,1020
14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.0799999,5.0999999,0.88999999,3.53,760
13.56,1.71,2.3099999,16.200001,117,3.1500001,3.29,0.34,2.3399999,6.1300001,0.94999999,3.3800001,795
13.41,3.8399999,2.1199999,18.799999,90,2.45,2.6800001,0.27000001,1.48,4.2800002,0.91000003,3,1035
13.88,1.89,2.5899999,15,101,3.25,3.5599999,0.17,1.7,5.4299998,0.88,3.5599999,1095
13.24,3.98,2.29,17.5,103,2.6400001,2.6300001,0.31999999,1.66,4.3600001,0.81999999,3,680
13.05,1.77,2.0999999,17,107,3,3,0.28,2.03,5.04,0.88,3.3499999,885
14.21,4.04,2.4400001,18.9,111,2.8499999,2.6500001,0.30000001,1.25,5.2399998,0.87,3.3299999,1080
14.38,3.5899999,2.28,16,102,3.25,3.1700001,0.27000001,2.1900001,4.9000001,1.04,3.4400001,1065
13.9,1.6799999,2.1199999,16,101,3.0999999,3.3900001,0.20999999,2.1400001,6.0999999,0.91000003,3.3299999,985
14.1,2.02,2.4000001,18.799999,103,2.75,2.9200001,0.31999999,2.3800001,6.1999998,1.0700001,2.75,1060
13.94,1.73,2.27,17.4,108,2.8800001,3.54,0.31999999,2.0799999,8.8999996,1.12,3.0999999,1260
13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.9100001,7.1999998,1.12,2.9100001,1150
13.83,1.65,2.5999999,17.200001,94,2.45,2.99,0.22,2.29,5.5999999,1.24,3.3699999,1265
13.82,1.75,2.4200001,14,111,3.8800001,3.74,0.31999999,1.87,7.0500002,1.01,3.26,1190
13.77,1.9,2.6800001,17.1,115,3,2.79,0.38999999,1.6799999,6.3000002,1.13,2.9300001,1375
13.74,1.67,2.25,16.4,118,2.5999999,2.9000001,0.20999999,1.62,5.8499999,0.92000002,3.2,1060
13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98000002,3.03,1120
14.22,1.7,2.3,16.299999,118,3.2,3,0.25999999,2.03,6.3800001,0.94,3.3099999,970
13.29,1.97,2.6800001,16.799999,102,3,3.23,0.31,1.66,6,1.0700001,2.8399999,1270
13.72,1.4299999,2.5,16.700001,108,3.4000001,3.6700001,0.19,2.04,6.8000002,0.88999999,2.8699999,1285
12.37,0.94,1.36,10.6,88,1.98,0.56999999,0.28,0.41999999,1.95,1.05,1.8200001,520
12.33,1.1,2.28,16,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680
12.64,1.36,2.02,16.799999,100,2.02,1.41,0.52999997,0.62,5.75,0.98000002,1.59,450
13.67,1.25,1.92,18,94,2.0999999,1.79,0.31999999,0.73000002,3.8,1.23,2.46,630
12.37,1.13,2.1600001,19,87,3.5,3.0999999,0.19,1.87,4.4499998,1.22,2.8699999,420
12.17,1.45,2.53,19,104,1.89,1.75,0.44999999,1.03,2.95,1.45,2.23,355
12.37,1.21,2.5599999,18.1,98,2.4200001,2.6500001,0.37,2.0799999,4.5999999,1.1900001,2.3,678
13.11,1.01,1.7,15,78,2.98,3.1800001,0.25999999,2.28,5.3000002,1.12,3.1800001,502
12.37,1.17,1.92,19.6,78,2.1099999,2,0.27000001,1.04,4.6799998,1.12,3.48,510
13.34,0.94,2.3599999,17,110,2.53,1.3,0.55000001,0.41999999,3.1700001,1.02,1.9299999,750
12.21,1.1900001,1.75,16.799999,151,1.85,1.28,0.14,2.5,2.8499999,1.28,3.0699999,718
12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.90600002,1.8200001,870
13.86,1.51,2.6700001,25,86,2.95,2.8599999,0.20999999,1.87,3.3800001,1.36,3.1600001,410
13.49,1.66,2.24,24,87,1.88,1.84,0.27000001,1.03,3.74,0.98000002,2.78,472
12.99,1.67,2.5999999,30,139,3.3,2.8900001,0.20999999,1.96,3.3499999,1.3099999,3.5,985
11.96,1.09,2.3,21,101,3.3800001,2.1400001,0.13,1.65,3.21,0.99000001,3.1300001,886
11.66,1.88,1.92,16,97,1.61,1.5700001,0.34,1.15,3.8,1.23,2.1400001,428
13.03,0.89999998,1.71,16,86,1.95,2.03,0.23999999,1.46,4.5999999,1.1900001,2.48,392
11.84,2.8900001,2.23,18,112,1.72,1.3200001,0.43000001,0.94999999,2.6500001,0.95999998,2.52,500
12.33,0.99000001,1.95,14.8,136,1.9,1.85,0.34999999,2.76,3.4000001,1.0599999,2.3099999,750
12.7,3.8699999,2.4000001,23,101,2.8299999,2.55,0.43000001,1.95,2.5699999,1.1900001,3.1300001,463
12,0.92000002,2,19,86,2.4200001,2.26,0.30000001,1.4299999,2.5,1.38,3.1199999,278
12.72,1.8099999,2.2,18.799999,86,2.2,2.53,0.25999999,1.77,3.9000001,1.16,3.1400001,714
12.08,1.13,2.51,24,78,2,1.58,0.40000001,1.4,2.2,1.3099999,2.72,630
13.05,3.8599999,2.3199999,22.5,85,1.65,1.59,0.61000001,1.62,4.8000002,0.83999997,2.01,515
11.84,0.88999999,2.5799999,18,94,2.2,2.21,0.22,2.3499999,3.05,0.79000002,3.0799999,520
12.67,0.98000002,2.24,18,99,2.2,1.9400001,0.30000001,1.46,2.6199999,1.23,3.1600001,450
12.16,1.61,2.3099999,22.799999,90,1.78,1.6900001,0.43000001,1.5599999,2.45,1.33,2.26,495
11.65,1.67,2.6199999,26,88,1.92,1.61,0.40000001,1.34,2.5999999,1.36,3.21,562
11.64,2.0599999,2.46,21.6,84,1.95,1.6900001,0.47999999,1.35,2.8,1,2.75,680
12.08,1.33,2.3,23.6,70,2.2,1.59,0.41999999,1.38,1.74,1.0700001,3.21,625
12.08,1.83,2.3199999,18.5,81,1.6,1.5,0.51999998,1.64,2.4000001,1.08,2.27,480
12,1.51,2.4200001,22,86,1.45,1.25,0.5,1.63,3.5999999,1.05,2.6500001,450
12.69,1.53,2.26,20.700001,80,1.38,1.46,0.57999998,1.62,3.05,0.95999998,2.0599999,495
12.29,2.8299999,2.22,18,88,2.45,2.25,0.25,1.99,2.1500001,1.15,3.3,290
11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345
12.47,1.52,2.2,19,162,2.5,2.27,0.31999999,3.28,2.5999999,1.16,2.6300001,937
11.81,2.1199999,2.74,21.5,134,1.6,0.99000001,0.14,1.5599999,2.5,0.94999999,2.26,625
12.29,1.41,1.98,16,85,2.55,2.5,0.28999999,1.77,2.9000001,1.23,2.74,428
12.37,1.0700001,2.0999999,18.5,88,3.52,3.75,0.23999999,1.95,4.5,1.04,2.77,660
12.29,3.1700001,2.21,18,88,2.8499999,2.99,0.44999999,2.8099999,2.3,1.42,2.8299999,406
12.08,2.0799999,1.7,17.5,97,2.23,2.1700001,0.25999999,1.4,3.3,1.27,2.96,710
12.6,1.34,1.9,18.5,88,1.45,1.36,0.28999999,1.35,2.45,1.04,2.77,562
12.34,2.45,2.46,21,98,2.5599999,2.1099999,0.34,1.3099999,2.8,0.80000001,3.3800001,438
11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.0599999,0.94,2.4400001,415
12.51,1.73,1.98,20.5,85,2.2,1.92,0.31999999,1.48,2.9400001,1.04,3.5699999,672
12.42,2.55,2.27,22,90,1.6799999,1.84,0.66000003,1.42,2.7,0.86000001,3.3,315
12.25,1.73,2.1199999,19,80,1.65,2.03,0.37,1.63,3.4000001,1,3.1700001,510
12.72,1.75,2.28,22.5,84,1.38,1.76,0.47999999,1.63,3.3,0.88,2.4200001,488
12.22,1.29,1.9400001,19,92,2.3599999,2.04,0.38999999,2.0799999,2.7,0.86000001,3.02,312
11.61,1.35,2.7,20,94,2.74,2.9200001,0.28999999,2.49,2.6500001,0.95999998,3.26,680
11.46,3.74,1.8200001,19.5,107,3.1800001,2.5799999,0.23999999,3.5799999,2.9000001,0.75,2.8099999,562
12.52,2.4300001,2.1700001,21,88,2.55,2.27,0.25999999,1.22,2,0.89999998,2.78,325
11.76,2.6800001,2.9200001,20,103,1.75,2.03,0.60000002,1.05,3.8,1.23,2.5,607
11.41,0.74000001,2.5,21,88,2.48,2.01,0.41999999,1.4400001,3.0799999,1.1,2.3099999,434
12.08,1.39,2.5,22.5,84,2.5599999,2.29,0.43000001,1.04,2.9000001,0.93000001,3.1900001,385
11.03,1.51,2.2,21.5,85,2.46,2.1700001,0.51999998,2.01,1.9,1.71,2.8699999,407
11.82,1.47,1.99,20.799999,86,1.98,1.6,0.30000001,1.53,1.95,0.94999999,3.3299999,495
12.42,1.61,2.1900001,22.5,108,2,2.0899999,0.34,1.61,2.0599999,1.0599999,2.96,345
12.77,3.4300001,1.98,16,80,1.63,1.25,0.43000001,0.82999998,3.4000001,0.69999999,2.1199999,372
12,3.4300001,2,19,87,2,1.64,0.37,1.87,1.28,0.93000001,3.05,564
11.45,2.4000001,2.4200001,20,96,2.9000001,2.79,0.31999999,1.83,3.25,0.80000001,3.3900001,625
11.56,2.05,3.23,28.5,119,3.1800001,5.0799999,0.47,1.87,6,0.93000001,3.6900001,465
12.42,4.4299998,2.73,26.5,102,2.2,2.1300001,0.43000001,1.71,2.0799999,0.92000002,3.1199999,365
13.05,5.8000002,2.1300001,21.5,86,2.6199999,2.6500001,0.30000001,2.01,2.5999999,0.73000002,3.0999999,380
11.87,4.3099999,2.3900001,21,82,2.8599999,3.03,0.20999999,2.9100001,2.8,0.75,3.6400001,380
12.07,2.1600001,2.1700001,21,85,2.5999999,2.6500001,0.37,1.35,2.76,0.86000001,3.28,378
12.43,1.53,2.29,21.5,86,2.74,3.1500001,0.38999999,1.77,3.9400001,0.69,2.8399999,352
11.79,2.1300001,2.78,28.5,92,2.1300001,2.24,0.57999998,1.76,3,0.97000003,2.4400001,466
12.37,1.63,2.3,24.5,88,2.22,2.45,0.40000001,1.9,2.1199999,0.88999999,2.78,342
12.04,4.3000002,2.3800001,22,80,2.0999999,1.75,0.41999999,1.35,2.5999999,0.79000002,2.5699999,580
12.86,1.35,2.3199999,18,122,1.51,1.25,0.20999999,0.94,4.0999999,0.75999999,1.29,630
12.88,2.99,2.4000001,20,104,1.3,1.22,0.23999999,0.82999998,5.4000001,0.74000001,1.42,530
12.81,2.3099999,2.4000001,24,98,1.15,1.09,0.27000001,0.82999998,5.6999998,0.66000003,1.36,560
12.7,3.55,2.3599999,21.5,106,1.7,1.2,0.17,0.83999997,5,0.77999997,1.29,600
12.51,1.24,2.25,17.5,85,2,0.57999998,0.60000002,1.25,5.4499998,0.75,1.51,650
12.6,2.46,2.2,18.5,94,1.62,0.66000003,0.63,0.94,7.0999999,0.73000002,1.58,695
12.25,4.7199998,2.54,21,89,1.38,0.47,0.52999997,0.80000001,3.8499999,0.75,1.27,720
12.53,5.5100002,2.6400001,25,96,1.79,0.60000002,0.63,1.1,5,0.81999999,1.6900001,515
13.49,3.5899999,2.1900001,19.5,88,1.62,0.47999999,0.57999998,0.88,5.6999998,0.81,1.8200001,580
12.84,2.96,2.6099999,24,101,2.3199999,0.60000002,0.52999997,0.81,4.9200001,0.88999999,2.1500001,590
12.93,2.8099999,2.7,21,96,1.54,0.5,0.52999997,0.75,4.5999999,0.76999998,2.3099999,600
13.36,2.5599999,2.3499999,20,89,1.4,0.5,0.37,0.63999999,5.5999999,0.69999999,2.47,780
13.52,3.1700001,2.72,23.5,97,1.55,0.51999998,0.5,0.55000001,4.3499999,0.88999999,2.0599999,520
13.62,4.9499998,2.3499999,20,92,2,0.80000001,0.47,1.02,4.4000001,0.91000003,2.05,550
12.25,3.8800001,2.2,18.5,112,1.38,0.77999997,0.28999999,1.14,8.21,0.64999998,2,855
13.16,3.5699999,2.1500001,21,102,1.5,0.55000001,0.43000001,1.3,4,0.60000002,1.6799999,830
13.88,5.04,2.23,20,80,0.98000002,0.34,0.40000001,0.68000001,4.9000001,0.57999998,1.33,415
12.87,4.6100001,2.48,21.5,86,1.7,0.64999998,0.47,0.86000001,7.6500001,0.54000002,1.86,625
13.32,3.24,2.3800001,21.5,92,1.9299999,0.75999999,0.44999999,1.25,8.4200001,0.55000001,1.62,650
13.08,3.9000001,2.3599999,21.5,113,1.41,1.39,0.34,1.14,9.3999996,0.56999999,1.33,550
13.5,3.1199999,2.6199999,24,123,1.4,1.5700001,0.22,1.25,8.6000004,0.58999997,1.3,500
12.79,2.6700001,2.48,22,112,1.48,1.36,0.23999999,1.26,10.8,0.47999999,1.47,480
13.11,1.9,2.75,25.5,116,2.2,1.28,0.25999999,1.5599999,7.0999999,0.61000001,1.33,425
13.23,3.3,2.28,18.5,98,1.8,0.82999998,0.61000001,1.87,10.52,0.56,1.51,675
12.58,1.29,2.0999999,20,103,1.48,0.57999998,0.52999997,1.4,7.5999999,0.57999998,1.55,640
13.17,5.1900001,2.3199999,22,93,1.74,0.63,0.61000001,1.55,7.9000001,0.60000002,1.48,725
13.84,4.1199999,2.3800001,19.5,89,1.8,0.82999998,0.47999999,1.5599999,9.0100002,0.56999999,1.64,480
12.45,3.03,2.6400001,27,97,1.9,0.57999998,0.63,1.14,7.5,0.67000002,1.73,880
14.34,1.6799999,2.7,25,98,2.8,1.3099999,0.52999997,2.7,13,0.56999999,1.96,660
13.48,1.67,2.6400001,22.5,89,2.5999999,1.1,0.51999998,2.29,11.75,0.56999999,1.78,620
12.36,3.8299999,2.3800001,21,88,2.3,0.92000002,0.5,1.04,7.6500001,0.56,1.58,520
13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.80000001,5.8800001,0.95999998,1.8200001,680
12.85,3.27,2.5799999,22,106,1.65,0.60000002,0.60000002,0.95999998,5.5799999,0.87,2.1099999,570
12.96,3.45,2.3499999,18.5,106,1.39,0.69999999,0.40000001,0.94,5.2800002,0.68000001,1.75,675
13.78,2.76,2.3,22,90,1.35,0.68000001,0.41,1.03,9.5799999,0.69999999,1.6799999,615
13.73,4.3600001,2.26,22.5,88,1.28,0.47,0.51999998,1.15,6.6199999,0.77999997,1.75,520
13.45,3.7,2.5999999,23,111,1.7,0.92000002,0.43000001,1.46,10.68,0.85000002,1.5599999,695
12.82,3.3699999,2.3,19.5,88,1.48,0.66000003,0.40000001,0.97000003,10.26,0.72000003,1.75,685
13.58,2.5799999,2.6900001,24.5,105,1.55,0.83999997,0.38999999,1.54,8.6599998,0.74000001,1.8,750
13.4,4.5999999,2.8599999,25,112,1.98,0.95999998,0.27000001,1.11,8.5,0.67000002,1.92,630
12.2,3.03,2.3199999,19,96,1.25,0.49000001,0.40000001,0.73000002,5.5,0.66000003,1.83,510
12.77,2.3900001,2.28,19.5,86,1.39,0.50999999,0.47999999,0.63999999,9.8999987,0.56999999,1.63,470
14.16,2.51,2.48,20,91,1.6799999,0.69999999,0.44,1.24,9.6999998,0.62,1.71,660
13.71,5.6500001,2.45,20.5,95,1.6799999,0.61000001,0.51999998,1.0599999,7.6999998,0.63999999,1.74,740
13.4,3.9100001,2.48,23,102,1.8,0.75,0.43000001,1.41,7.3000002,0.69999999,1.5599999,750
13.27,4.2800002,2.26,20,120,1.59,0.69,0.43000001,1.35,10.2,0.58999997,1.5599999,835
13.17,2.5899999,2.3699999,20,120,1.65,0.68000001,0.52999997,1.46,9.3000002,0.60000002,1.62,840
14.13,4.0999999,2.74,24.5,96,2.05,0.75999999,0.56,1.35,9.1999998,0.61000001,1.6,560
